"id","name","lat","lon"
10,"Métro Angrignon (Lamont /  des Trinitaires)",45.44691,-73.60363
13,"Métro de l'Église (Ross / de l'Église)",45.462727,-73.565956
17,"Tolhurst / Fleury",45.544147,-73.66752
31,"Lespérance / de Rouen",45.538837,-73.55278
36,"St-Cuthbert / St-Urbain",45.514774,-73.578316
38,"Métro Vendôme (de Marlowe / de Maisonneuve)",45.47387,-73.60454
43,"Métro Université de Montréal (Édouard-Montpetit / Louis-Collin)",45.50367,-73.61848
47,"Métro Guy-Concordia (Guy / St-Catherine)",45.495045,-73.57783
60,"Durocher / Van Horne",45.524395,-73.61142
65,"Bel Air / St-Antoine",45.482777,-73.58462
76,"St-Joseph / 34e avenue Lachine",45.43325,-73.69396
78,"8e avenue / Notre-Dame Lachine",45.4349,-73.67082
79,"Victoria / 18e avenue Lachine",45.435997,-73.680115
86,"Parc Pratt (Dunlop / Van Horne)",45.515007,-73.61979
92,"Métro Rosemont (de St-Vallier / Rosemont)",45.531784,-73.59779
99,"7e avenue / St-Joseph Rosemont",45.547108,-73.56937
100,"16e avenue / St-Joseph",45.55287,-73.56563
111,"Hutchison / Sherbrooke",45.507717,-73.57167
120,"Drolet / Faillon",45.539314,-73.62066
125,"Cité des Arts du Cirque (Paul Boutet / des Regrattiers)",45.55987,-73.61554
126,"Rousselot / Jarry",45.5509,-73.62108
135,"St-Alexandre / Ste-Catherine",45.50536,-73.56774
137,"Jeanne-d'Arc / Ontario",45.5496,-73.54188
139,"d'Orléans / Hochelaga",45.55077,-73.54942
141,"Marché Maisonneuve",45.55322,-73.53978
142,"Ontario / Sicard",45.556263,-73.53744
143,"de Ville-Marie / Ste-Catherine",45.557922,-73.529144
144,"Ontario / Viau",45.559483,-73.5355
145,"Gauthier / Papineau",45.529667,-73.56734
147,"Gauthier / Parthenais",45.532925,-73.56378
148,"de Bordeaux / Marie-Anne",45.53341,-73.570656
149,"des Érables / Rachel",45.533546,-73.566864
151,"Chapleau / Terrasse Mercure",45.53674,-73.56517
152,"Bercy / Rachel",45.538403,-73.561966
153,"Ste-Catherine / Dezery",45.539387,-73.541
154,"Dézéry / Ontario",45.54111,-73.54755
155,"Métro Préfontaine (Moreau / Hochelaga)",45.54178,-73.55572
156,"Valois / Ste-Catherine",45.54523,-73.53725
157,"St-Germain / Hochelaga",45.543697,-73.55367
158,"Aylwin / Ontario",45.544285,-73.54534
159,"Métro Joliette  (Joliette / Hochelaga)",45.546906,-73.55156
160,"Valois / Ontario",45.547405,-73.54468
161,"Nicolet / Sherbrooke",45.549694,-73.55465
162,"Métro Assomption (Chauveau / de l'Assomption)",45.56979,-73.54808
164,"Métro Cadillac (de Cadillac / Sherbrooke)",45.57696,-73.54684
165,"Pierre-de-Coubertin / Langelier",45.580315,-73.53532
166,"Métro Langelier (Langelier / Sherbrooke)",45.582848,-73.54247
167,"Boyer / du Mont-Royal",45.52743,-73.57992
168,"Calixa-Lavallée / Rachel",45.527794,-73.57194
169,"de Brébeuf / du Mont-Royal",45.529408,-73.578156
170,"de Lanaudière / Marie-Anne",45.529327,-73.57481
171,"Marquette / Rachel",45.5298,-73.57029
173,"Marquette / du Mont-Royal",45.53229,-73.57544
175,"Chabot / du Mont-Royal",45.534184,-73.573586
176,"Cartier / St-Joseph",45.535828,-73.57869
177,"de Bordeaux / Gilford",45.53611,-73.57629
179,"Messier / du Mont-Royal",45.537113,-73.57101
181,"Cartier / Masson",45.53802,-73.58353
182,"Chapleau / du Mont-Royal",45.53867,-73.56936
183,"de Bordeaux / Masson",45.538982,-73.58244
184,"Fullum / Gilford",45.539223,-73.57384
185,"Parc des Rapides (LaSalle / 6e avenue)",45.42947,-73.5931
186,"LaSalle / Crawford",45.437916,-73.58274
187,"Natatorium (LaSalle / Rolland)",45.444546,-73.57509
188,"Bibliothèque de Verdun (Brown / Bannantyne)",45.44826,-73.57786
189,"Beatty / de Verdun",45.45073,-73.57258
190,"Métro Monk (Allard / Beaulieu)",45.45085,-73.594025
191,"Argyle / Bannantyne",45.45332,-73.576775
192,"Argyle / de Verdun",45.453014,-73.571915
193,"Hamilton / Jolicoeur",45.456356,-73.59756
194,"5e avenue / Bannantyne",45.456364,-73.57614
196,"4e avenue / de Verdun",45.456886,-73.57261
197,"Dubois / Eadie",45.457596,-73.59053
198,"2e avenue / Wellington",45.457893,-73.56753
199,"Métro Verdun (Willibrord / de Verdun)",45.459488,-73.57209
200,"Gordon / Wellington",45.46108,-73.56731
201,"Parc St-Paul (Le Caron / Marc-Sauvalle)",45.461685,-73.58404
202,"St-Patrick / Briand",45.463398,-73.596436
203,"de l'Église / de Verdun",45.463,-73.57157
204,"de l'Église / Bannantyne",45.463253,-73.57588
205,"Regina / de Verdun",45.46737,-73.57077
206,"Métro Lasalle (de Rushbrooke / Caisse)",45.470695,-73.56542
207,"Métro Laurier (Rivard / Laurier)",45.527615,-73.58911
208,"St-Hubert / Laurier",45.52931,-73.58865
209,"Hélène-Baillargeon / St-Denis",45.52974,-73.59527
211,"de Mentana / Laurier",45.53045,-73.58764
214,"Laurier / de Brébeuf",45.532513,-73.58481
215,"Garnier / St-Joseph",45.532978,-73.58122
